Lemma	Count in book	Count in Hebrew Bible	Gloss
אֵבוּס	1	3	crib|feeding-trough
דַּוָּי	1	3	faint
מְתֹם	1	4	soundness
פֶּ֫צַע	1	8	bruise|wound
טָרִי	1	2	fresh
זוּר	1	3	press down and out
מִקְשָׁה	1	1	place|field|of cucumbers
לוּלֵא	1	14	if not|unless
שָׂרִיד	1	29	survivor
קְטֹ֫רֶת	1	60	smoke|odour of|sacrifice|incense
עֲצָרָה	1	11	assembly
טֹ֫רַח	1	2	burden
זָכָה	1	8	be clear|clean|pure
רֹעַ	1	19	badness|evil
חָמוֹץ	1	1	the ruthless
שָׁנִי	1	42	scarlet
לָבֵן	1	5	be white
אָדֹם	1	10	be red
תּוֹלָע	1	4	worm|scarlet stuff
מָאֵן	1	41	refuse
אֵיכָה	1	17	
רָצַח	1	47	murder|slay
סֹ֫בֶא	1	4	drink|liquor
מָהַל	1	1	circumcise|weaken
גַּנָּב	1	17	thief
שַׁלְמֹן	1	1	reward|bribe
נָקַם	1	35	avenge|take vengeance
בֹּר	1	2	lye|potash
בְּדִיל	1	6	alloy|tin|dross
תְּחִלָּה	1	23	beginning
חָסֹן	1	2	strong
נְעֹ֫רֶת	1	2	tow|shaken off
נִיצוֹץ	1	1	spark
נָהַר	1	4	flow|stream
אֵת	1	5	ploughshare
חֲנִית	1	48	spear|flexible
סָפַק	1	9	slap|clap
טָמַן	1	31	hide|conceal
גֵּאֶה	1	8	proud
שְׂכִיָּה	1	1	
חֶמְדָּה	1	16	desire
כָּלִיל	1	15	entire|whole|holocaust
מְחִלָּה	1	1	hole
חֲפַרְפָּרָה	1	1	mole|digger
חֲפַרְפָּרָה	1	1	mole|digger
עֲטַלֵּף	1	3	bat
נְקָרָה	1	2	hole|crevice
מִשְׁעֵן	1	1	
מַשְׁעֵנָה	1	1	
חֲמִשִּׁים	1	163	fifty
חֶ֫רֶשׁ	1	2	magic art|magic drug|skilled in magic arts|drugs
רָהַב	1	4	act stormily|boisterously|arrogantly
מַכְשֵׁלָה	1	2	overthrown mass|stumbling-block
הַכָּרָה	1	1	look|expression
כָּחַד	1	32	hide|efface
עָלַל	1	1	act|play the child
דִּין	1	24	judge
גְּזֵלָה	1	6	plunder|spoil
שָׂקַר	1	1	ogle
טָפַף	1	1	trip|take quick little steps
עָכַס	1	1	shake bangles|rattle|tinkle
שִׂפַּח	1	1	cause a scab upon|smite with scab
קָדְקֹד	1	11	head|crown of head
פֹּת	1	2	sockets|their secret parts|cardo femina
עֶ֫כֶס	1	2	anklet|bangle
שָׁבִיס	1	1	front-band
שַׂהֲרוֹן	1	3	moon|crescent
נְטִיפָה	1	2	drop|pendant
שֵׁרָה	1	1	bracelet
רְעָלָה	1	1	veil
צְעָדָה	1	1	armlet
קִשֻּׁרִים	1	2	bands|sashes|bound on
טַבַּ֫עַת	1	50	signet|signet-ring|ring
נֶ֫זֶם	1	17	ring
מַחֲלָצָה	1	2	robe of state|taken off
מַעֲטָפָה	1	1	overtunic
מִטְפַּ֫חַת	1	2	cloak
חָרִיט	1	2	bag|purse
סָדִין	1	4	linen wrapper
רְדִיד	1	2	wide wrapper|large veil
