1Chr.1 1Chr.1.1 1Chr.1.42
1Chr.2 1Chr.1.43 1Chr.1.54
1Chr.3 1Chr.2.1 1Chr.3.9
1Chr.4 1Chr.3.10 1Chr.4.14
1Chr.5 1Chr.4.15 1Chr.5.10
1Chr.6 1Chr.5.11 1Chr.5.17
1Chr.7 1Chr.5.18 1Chr.5.22
1Chr.8 1Chr.5.23 1Chr.5.26
1Chr.9 1Chr.5.27 1Chr.6.15
1Chr.10 1Chr.6.16 1Chr.6.34
1Chr.11 1Chr.6.35 1Chr.6.54
1Chr.12 1Chr.6.55 1Chr.6.55
1Chr.13 1Chr.6.56 1Chr.7.5
1Chr.14 1Chr.7.6 1Chr.7.13
1Chr.15 1Chr.7.14 1Chr.7.19
1Chr.16 1Chr.7.20 1Chr.7.29
1Chr.17 1Chr.7.30 1Chr.8.40
1Chr.18 1Chr.9.1 1Chr.9.34
1Chr.19 1Chr.9.35 1Chr.9.44
1Chr.20 1Chr.10.1 1Chr.10.14
1Chr.21 1Chr.11.1 1Chr.11.9
1Chr.22 1Chr.11.10 1Chr.11.47
1Chr.23 1Chr.12.1 1Chr.12.19
1Chr.24 1Chr.12.20 1Chr.12.23
1Chr.25 1Chr.12.24 1Chr.12.41
1Chr.26 1Chr.13.1 1Chr.13.14
1Chr.27 1Chr.14.1 1Chr.14.2
1Chr.28 1Chr.14.3 1Chr.14.12
1Chr.29 1Chr.14.13 1Chr.15.15
1Chr.30 1Chr.15.16 1Chr.15.16
1Chr.31 1Chr.15.17 1Chr.15.29
1Chr.32 1Chr.16.1 1Chr.16.4
1Chr.33 1Chr.16.5 1Chr.16.7
1Chr.34 1Chr.16.8 1Chr.16.22
1Chr.35 1Chr.16.23 1Chr.16.36
1Chr.36 1Chr.16.37 1Chr.16.43
1Chr.37 1Chr.17.1 1Chr.17.15
1Chr.38 1Chr.17.16 1Chr.17.27
1Chr.39 1Chr.18.1 1Chr.18.8
1Chr.40 1Chr.18.9 1Chr.18.17
1Chr.41 1Chr.19.1 1Chr.19.3
1Chr.42 1Chr.19.4 1Chr.19.7
1Chr.43 1Chr.19.8 1Chr.19.15
1Chr.44 1Chr.19.16 1Chr.19.19
1Chr.45 1Chr.20.1 1Chr.20.3
1Chr.46 1Chr.20.4 1Chr.20.8
1Chr.47 1Chr.21.1 1Chr.21.7
1Chr.48 1Chr.21.8 1Chr.21.8
1Chr.49 1Chr.21.9 1Chr.21.12
1Chr.50 1Chr.21.13 1Chr.21.26
1Chr.51 1Chr.21.27 1Chr.22.4
1Chr.52 1Chr.22.5 1Chr.22.19
1Chr.53 1Chr.23.1 1Chr.23.32
1Chr.54 1Chr.24.1 1Chr.24.6
1Chr.55 1Chr.24.7 1Chr.24.18
1Chr.56 1Chr.24.19 1Chr.24.19
1Chr.57 1Chr.24.20 1Chr.25.8
1Chr.58 1Chr.25.9 1Chr.25.31
1Chr.59 1Chr.26.1 1Chr.26.5
1Chr.60 1Chr.26.6 1Chr.26.13
1Chr.61 1Chr.26.14 1Chr.26.28
1Chr.62 1Chr.26.29 1Chr.26.32
1Chr.63 1Chr.27.1 1Chr.27.15
1Chr.64 1Chr.27.16 1Chr.27.34
1Chr.65 1Chr.28.1 1Chr.28.8
1Chr.66 1Chr.28.9 1Chr.28.10
1Chr.67 1Chr.28.11 1Chr.28.19
1Chr.68 1Chr.28.20 1Chr.28.21
1Chr.69 1Chr.29.1 1Chr.29.9
1Chr.70 1Chr.29.10 1Chr.29.19
1Chr.71 1Chr.29.20 1Chr.29.25
1Chr.72 1Chr.29.26 1Chr.29.30
1Kgs.1 1Kgs.1.1 1Kgs.1.31
1Kgs.2 1Kgs.1.32 1Kgs.1.53
1Kgs.3 1Kgs.2.1 1Kgs.2.10
1Kgs.4 1Kgs.2.11 1Kgs.2.22
1Kgs.5 1Kgs.2.23 1Kgs.2.27
1Kgs.6 1Kgs.2.28 1Kgs.3.2
1Kgs.7 1Kgs.3.3 1Kgs.3.15
1Kgs.8 1Kgs.3.16 1Kgs.3.23
1Kgs.9 1Kgs.3.24 1Kgs.5.1
1Kgs.10 1Kgs.5.2 1Kgs.5.25
1Kgs.11 1Kgs.5.26 1Kgs.5.32
1Kgs.12 1Kgs.6.1 1Kgs.6.10
1Kgs.13 1Kgs.6.11 1Kgs.7.12
1Kgs.14 1Kgs.7.13 1Kgs.7.26
1Kgs.15 1Kgs.7.27 1Kgs.7.50
1Kgs.16 1Kgs.7.51 1Kgs.7.51
1Kgs.17 1Kgs.8.1 1Kgs.8.11
1Kgs.18 1Kgs.8.12 1Kgs.8.53
1Kgs.19 1Kgs.8.54 1Kgs.9.1
1Kgs.20 1Kgs.9.2 1Kgs.9.9
1Kgs.21 1Kgs.9.10 1Kgs.9.13
1Kgs.22 1Kgs.9.14 1Kgs.9.28
1Kgs.23 1Kgs.10.1 1Kgs.10.17
1Kgs.24 1Kgs.10.18 1Kgs.10.29
1Kgs.25 1Kgs.11.1 1Kgs.11.10
1Kgs.26 1Kgs.11.11 1Kgs.11.25
1Kgs.27 1Kgs.11.26 1Kgs.12.17
1Kgs.28 1Kgs.12.18 1Kgs.12.21
1Kgs.29 1Kgs.12.22 1Kgs.12.33
1Kgs.30 1Kgs.13.1 1Kgs.13.10
1Kgs.31 1Kgs.13.11 1Kgs.13.20
1Kgs.32 1Kgs.13.20 1Kgs.13.32
1Kgs.33 1Kgs.13.33 1Kgs.13.34
1Kgs.34 1Kgs.14.1 1Kgs.14.20
1Kgs.35 1Kgs.14.21 1Kgs.14.24
1Kgs.36 1Kgs.14.25 1Kgs.14.31
1Kgs.37 1Kgs.15.1 1Kgs.15.8
1Kgs.38 1Kgs.15.9 1Kgs.15.24
1Kgs.39 1Kgs.15.25 1Kgs.15.32
1Kgs.40 1Kgs.15.33 1Kgs.16.7
1Kgs.41 1Kgs.16.8 1Kgs.16.14
1Kgs.42 1Kgs.16.15 1Kgs.16.20
1Kgs.43 1Kgs.16.21 1Kgs.16.22
1Kgs.44 1Kgs.16.23 1Kgs.16.28
1Kgs.45 1Kgs.16.29 1Kgs.17.16
1Kgs.46 1Kgs.17.17 1Kgs.17.24
1Kgs.47 1Kgs.18.1 1Kgs.19.21
1Kgs.48 1Kgs.20.1 1Kgs.20.25
1Kgs.49 1Kgs.20.26 1Kgs.20.43
1Kgs.50 1Kgs.21.1 1Kgs.22.1
1Kgs.51 1Kgs.22.2 1Kgs.22.40
1Sam.1 1Kgs.22.41 1Sam.1.28
1Sam.2 1Sam.2.1 1Sam.2.10
1Sam.3 1Sam.2.11 1Sam.3.3
1Sam.4 1Sam.3.4 1Sam.3.10
1Sam.5 1Sam.3.11 1Sam.3.18
1Sam.6 1Sam.3.19 1Sam.3.21
1Sam.7 1Sam.4.1 1Sam.4.17
1Sam.8 1Sam.4.18 1Sam.4.22
1Sam.9 1Sam.5.1 1Sam.7.1
1Sam.10 1Sam.7.2 1Sam.7.4
1Sam.11 1Sam.7.5 1Sam.7.17
1Sam.12 1Sam.8.1 1Sam.8.3
1Sam.13 1Sam.8.4 1Sam.8.6
1Sam.14 1Sam.8.7 1Sam.8.21
1Sam.15 1Sam.8.22 1Sam.8.22
1Sam.16 1Sam.9.1 1Sam.9.27
1Sam.17 1Sam.10.1 1Sam.10.16
1Sam.18 1Sam.10.17 1Sam.10.18
1Sam.19 1Sam.10.18 1Sam.10.24
1Sam.20 1Sam.10.25 1Sam.10.27
1Sam.21 1Sam.11.1 1Sam.11.15
1Sam.22 1Sam.12.1 1Sam.12.5
1Sam.23 1Sam.12.6 1Sam.12.25
1Sam.24 1Sam.13.1 1Sam.13.14
1Sam.25 1Sam.13.15 1Sam.14.12
1Sam.26 1Sam.14.12 1Sam.14.16
1Sam.27 1Sam.14.17 1Sam.14.19
1Sam.28 1Sam.14.19 1Sam.14.35
1Sam.29 1Sam.14.36 1Sam.15.9
1Sam.30 1Sam.15.10 1Sam.15.35
1Sam.31 1Sam.16.1 1Sam.16.12
1Sam.32 1Sam.16.12 1Sam.16.16
1Sam.33 1Sam.16.17 1Sam.16.23
1Sam.34 1Sam.17.1 1Sam.17.11
1Sam.35 1Sam.17.12 1Sam.17.16
1Sam.36 1Sam.17.17 1Sam.18.5
1Sam.37 1Sam.18.6 1Sam.18.13
1Sam.38 1Sam.18.14 1Sam.18.16
1Sam.39 1Sam.18.17 1Sam.18.24
1Sam.40 1Sam.18.25 1Sam.19.10
1Sam.41 1Sam.19.11 1Sam.19.14
1Sam.42 1Sam.19.15 1Sam.19.24
1Sam.43 1Sam.20.1 1Sam.20.4
1Sam.44 1Sam.20.5 1Sam.20.8
1Sam.45 1Sam.20.9 1Sam.20.42
1Sam.46 1Sam.21.1 1Sam.21.5
1Sam.47 1Sam.21.6 1Sam.24.16
1Sam.48 1Sam.24.17 1Sam.24.23
1Sam.49 1Sam.25.1 1Sam.26.9
1Sam.50 1Sam.26.10 1Sam.26.14
1Sam.51 1Sam.26.15 1Sam.26.24
1Sam.52 1Sam.26.25 1Sam.26.25
1Sam.53 1Sam.27.1 1Sam.27.6
1Sam.54 1Sam.27.7 1Sam.27.12
1Sam.55 1Sam.28.1 1Sam.28.2
1Sam.56 1Sam.28.3 1Sam.28.25
1Sam.57 1Sam.29.1 1Sam.29.3
1Sam.58 1Sam.29.4 1Sam.30.25
1Sam.59 1Sam.30.26 1Sam.30.31
1Sam.60 1Sam.31.1 1Sam.31.13
2Chr.1 2Chr.1.1 2Chr.1.13
2Chr.2 2Chr.1.14 2Chr.2.1
2Chr.3 2Chr.2.2 2Chr.2.9
2Chr.4 2Chr.2.10 2Chr.2.15
2Chr.5 2Chr.2.16 2Chr.4.18
2Chr.6 2Chr.4.19 2Chr.5.1
2Chr.7 2Chr.5.2 2Chr.5.10
2Chr.8 2Chr.5.11 2Chr.5.14
2Chr.9 2Chr.6.1 2Chr.6.25
2Chr.10 2Chr.6.26 2Chr.6.42
2Chr.11 2Chr.7.1 2Chr.7.11
2Chr.12 2Chr.7.12 2Chr.7.22
2Chr.13 2Chr.8.1 2Chr.8.9
2Chr.14 2Chr.8.10 2Chr.8.11
2Chr.15 2Chr.8.12 2Chr.8.18
2Chr.16 2Chr.9.1 2Chr.9.12
2Chr.17 2Chr.9.13 2Chr.9.16
2Chr.18 2Chr.9.17 2Chr.9.21
2Chr.19 2Chr.9.22 2Chr.9.24
2Chr.20 2Chr.9.25 2Chr.9.31
2Chr.21 2Chr.10.1 2Chr.11.1
2Chr.22 2Chr.11.2 2Chr.11.4
2Chr.23 2Chr.11.5 2Chr.12.1
2Chr.24 2Chr.12.2 2Chr.12.16
2Chr.25 2Chr.13.1 2Chr.13.20
2Chr.26 2Chr.13.21 2Chr.13.23
2Chr.27 2Chr.14.1 2Chr.14.6
2Chr.28 2Chr.14.7 2Chr.15.9
2Chr.29 2Chr.15.10 2Chr.16.14
2Chr.30 2Chr.17.1 2Chr.17.6
2Chr.31 2Chr.17.7 2Chr.17.11
2Chr.32 2Chr.17.12 2Chr.17.19
2Chr.33 2Chr.18.1 2Chr.18.27
2Chr.34 2Chr.18.28 2Chr.19.11
2Chr.35 2Chr.20.1 2Chr.20.13
2Chr.36 2Chr.20.14 2Chr.20.30
2Chr.37 2Chr.20.31 2Chr.21.3
2Chr.38 2Chr.21.4 2Chr.21.11
2Chr.39 2Chr.21.12 2Chr.22.1
2Chr.40 2Chr.22.2 2Chr.22.12
2Chr.41 2Chr.23.1 2Chr.23.15
2Chr.42 2Chr.23.16 2Chr.24.14
2Chr.43 2Chr.24.15 2Chr.24.22
2Chr.44 2Chr.24.23 2Chr.24.27
2Chr.45 2Chr.25.1 2Chr.25.4
2Chr.46 2Chr.25.5 2Chr.25.10
2Chr.47 2Chr.25.11 2Chr.25.16
2Chr.48 2Chr.25.17 2Chr.25.24
2Chr.49 2Chr.25.25 2Chr.26.2
2Chr.50 2Chr.26.3 2Chr.26.23
2Chr.51 2Chr.27.1 2Chr.27.9
2Chr.52 2Chr.28.1 2Chr.28.15
2Chr.53 2Chr.28.16 2Chr.28.27
2Chr.54 2Chr.29.1 2Chr.29.30
2Chr.55 2Chr.29.31 2Chr.29.36
2Chr.56 2Chr.30.1 2Chr.30.9
2Chr.57 2Chr.30.10 2Chr.30.27
